"school_code","school_name","school_address1","school_address2","school_city","school_province","school_postal_code","school_phone","authority_type","latitude","longitude","school_updated","school_authority_code","ecs","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total","start_year","end_year","enrollment_updated"
"0017","Centre High","Suite 200","10310 - 102 Avenue","Edmonton","AB","T5J5A2","(780) 425-6753","Public","53.543270990587","-113.49800799748","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","0","0","0","0","0","196","196","2012","2013","2017-03-16 21:16:27"
"0018","The Academy at King Edward","8525 - 101 Street","","Edmonton","AB","T6E3Z4","(780) 439-1368","Public","53.521382","-113.489977","2017-03-16 21:15:31","0","0","0","-1","0","0","4","-8","10","0","4","1","-2","0","8","2012","2013","2017-03-16 21:16:27"
"0026","Ecole Publique Gabrielle-Roy","8728 - 93 Avenue","","Edmonton","AB","T6C1T8","(780) 457-2100","Francophone","53.5299083","-113.4632388","2017-03-16 21:15:31","0","8","11","12","3","1","-5","16","2","5","14","9","9","-8","77","2012","2013","2017-03-16 21:16:27"
"0028","Phoenix Academy","Centre 170, Suite 145","10403 - 172 St","Edmonton","AB","T5S1K9","(780) 440-0708","Private School","53.5468739","-113.6168528","2017-03-16 21:15:31","0","0","0","0","0","-1","0","0","-1","1","-4","1","0","0","-4","2012","2013","2017-03-16 21:16:27"
"0098","Harvest Baptist Academy","26404 Highway 16, West","","Spruce Grove","AB","T7X3H5","(780) 960-0235","Private School","53.591742042059","-113.78738799757","2017-03-16 21:15:31","0","2","15","9","10","9","10","15","8","7","6","6","3","2","102","2012","2013","2017-03-16 21:16:27"
"0136","Grit Program","12852 141 Street NW","","Edmonton","AB","T5L4N8","(780) 454-9910","ECS Private Operator","53.586012930061","-113.56474865529","2017-03-16 21:15:31","0","-13","0","0","0","0","0","0","0","0","0","0","0","0","-13","2012","2013","2017-03-16 21:16:27"
"0140","Student's Union & Community Day Care Centre","8917 - 112 Street","","Edmonton","AB","T6G2C5","(780) 492-2245","ECS Private Operator","53.525005564374","-113.5207388828","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2012","2013","2017-03-16 21:16:27"
"0151","Community Preschool Education","Suite 200","15824 - 131 Avenue","Edmonton","AB","T5V1J4","(780) 455-1818","ECS Private Operator","53.590707","-113.596221","2017-03-16 21:15:31","0","16","0","0","0","0","0","0","0","0","0","0","0","0","16","2012","2013","2017-03-16 21:16:27"
"0173","Jasper Place Child Care/ECS Program","16811-88 Avenue-Main Floor","Cabrini Centre","Edmonton","AB","T5R5Y6","(780) 489-2243","ECS Private Operator","53.523284121295","-113.61257757592","2017-03-16 21:15:31","0","-5","0","0","0","0","0","0","0","0","0","0","0","0","-5","2012","2013","2017-03-16 21:16:27"
"0189","A B C Head Start Program","9829-103 Street NW","","Edmonton","AB","T5K0X9","(780) 461-5353","ECS Private Operator","53.5364292","-113.4970614","2017-03-16 21:15:31","0","70","0","0","0","0","0","0","0","0","0","0","0","0","70","2012","2013","2017-03-16 21:16:27"
"0214","Beverly Day Care Centre","11809 - 48 Street","","Edmonton","AB","T5W2Y4","(780) 477-1151","ECS Private Operator","53.571244","-113.415073","2017-03-16 21:15:31","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","-1","2012","2013","2017-03-16 21:16:27"
"0297","Oliver Centre","10227 - 118 Street","","Edmonton","AB","T5K2V4","(780) 482-2116","ECS Private Operator","53.543789311777","-113.52477773149","2017-03-16 21:15:31","0","-2","0","0","0","0","0","0","0","0","0","0","0","0","-2","2012","2013","2017-03-16 21:16:27"
"0314","Morinville Learning Centre","9507 - 100 Street","","Morinville","AB","T8R1R2","(780) 939-4033","Public","53.795805","-113.644407","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","0","0","0","6","5","16","27","2012","2013","2017-03-16 21:16:27"
"0325","Transitions at the Y","10211-105 Street","","Edmonton","AB","T5J1E3","(780) 429-5737","Public","53.543359997338","-113.50062057606","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","0","0","5","3","5","-9","4","2012","2013","2017-03-16 21:16:27"
"0338","J. J. Nearing Catholic Elementary School","196 Deer Ridge Drive","","St. Albert","AB","T8N6T6","(780) 418-6330","Separate","53.652955576365","-113.66202762698","2017-03-16 21:15:31","0","16","3","-13","2","1","10","-15","0","0","0","0","0","0","4","2012","2013","2017-03-16 21:16:27"
"0344","Personalized Learning Activities and Community Education","4752-99 Street","","Edmonton","AB","T6E5H5","(780) 488-6600","ECS Private Operator","53.485295269417","-113.48734408731","2017-03-16 21:15:31","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2012","2013","2017-03-16 21:16:27"
"0349","Argyll Home School Centre","6859 - 100 Avenue","","Edmonton","AB","T6A0G3","(780) 465-1299","Public","53.539929745552","-113.43447077777","2017-03-16 21:15:31","0","-1","-18","16","16","-2","22","6","11","28","11","-12","-19","19","77","2012","2013","2017-03-16 21:16:27"
"0378","St. Albert Storefront School","202 Mission Hill Plaza","398 St. Albert Trail","St. Albert","AB","T8N5J9","(780) 459-6616","Separate","53.629758261086","-113.62724125397","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","0","0","5","2","-4","-16","-13","2012","2013","2017-03-16 21:16:27"
"0386","Learning Store on Whyte","10007 - 82 Avenue","","Edmonton","AB","T6E1Z2","(780) 437-8119","Public","53.517637","-113.489114","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","0","0","0","3","19","71","93","2012","2013","2017-03-16 21:16:27"
"0483","Thomas More Academy","Centre 170, Suite 145","10403 - 172 St","Edmonton","AB","T5S1K9","(780) 430-6969","Private School","53.5468739","-113.6168528","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","1","-2","5","-4","2","-2","0","2012","2013","2017-03-16 21:16:27"
"0484","Amiskwaciy Academy","101 Airport Road","","Edmonton","AB","T5G3K2","","Public","53.5710828","-113.522451","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","0","-23","-2","5","-1","21","0","2012","2013","2017-03-16 21:16:27"
"0577","Columbus Academy","Centre 170, Suite 145","10403 - 172 St","Edmonton","AB","T5S1K9","(780) 440-0708","Private School","53.5468739","-113.6168528","2017-03-16 21:15:31","0","0","0","0","0","0","0","1","-2","1","-4","2","0","-1","-3","2012","2013","2017-03-16 21:16:27"
"0655","Elves Child Development Centre","10825 - 142 Street","","Edmonton","AB","T5N3Y7","(780) 454-5310","Private School","53.553572426311","-113.56476997117","2017-03-16 21:15:31","0","-2","1","0","-1","-1","2","-1","1","-3","2","-6","6","1","-1","2012","2013","2017-03-16 21:16:27"
"0658","Connect Society's Early Childhood Services","6240-113 Street, N.W.","","Edmonton","AB","T6H3L2","(780) 454-9581","ECS Private Operator","53.4999779","-113.5244164","2017-03-16 21:15:31","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","-1","2012","2013","2017-03-16 21:16:27"
"0681","Londonderry Child Development Society","13931-140 Street","","Edmonton","AB","T6V1J7","(780) 473-7216","ECS Private Operator","53.6020396","-113.5612596","2017-03-16 21:15:31","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2012","2013","2017-03-16 21:16:27"
"0684","Southview Child Care","3650 - 91 Street","","Edmonton","AB","T6E6P1","(780) 436-1823","ECS Private Operator","53.471776","-113.4684695","2017-03-16 21:15:31","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2012","2013","2017-03-16 21:16:27"
"0688","Norwood Child & Family Resource Centre","9516 - 114 Avenue","","Edmonton","AB","T5G0K7","(780) 471-3737","ECS Private Operator","53.5645897","-113.4889483","2017-03-16 21:15:31","0","4","0","0","0","0","0","0","0","0","0","0","0","0","4","2012","2013","2017-03-16 21:16:27"
"0697","St. Peter's Lutheran Church Early Childhood Services","5012 - 51 Avenue","","Leduc","AB","T9E5L2","(780) 986-5558","ECS Private Operator","53.265763410147","-113.55299446362","2017-03-16 21:15:31","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","-1","2012","2013","2017-03-16 21:16:27"
"0700","Sherwood Park Kindergarten","105 Main Terrace","","Sherwood Park","AB","T8A0R7","(780) 467-5644","ECS Private Operator","53.523534887575","-113.31541974306","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2012","2013","2017-03-16 21:16:27"
"1003","Jackson Heights Elementary","311 Jackson Rd., N.W.","","Edmonton","AB","T6L6S7","(780) 465-9797","Public","53.483441289088","-113.40903525397","2017-03-16 21:15:31","0","-9","-3","-9","1","2","-14","8","0","0","0","0","0","0","-24","2012","2013","2017-03-16 21:16:27"
"1004","George P. Nicholson School","1120 - 113 Street","","Edmonton","AB","T6J7J4","(780) 439-9314","Public","53.442650753956","-113.52542257672","2017-03-16 21:15:31","0","-12","13","19","-13","2","0","3","0","0","0","0","0","0","12","2012","2013","2017-03-16 21:16:27"
"1006","Edmonton Khalsa School","4504 Millwoods Road South","","Edmonton","AB","T6L6Y8","(780) 450-8753","Private School","53.443617274366","-113.4081833582","2017-03-16 21:15:31","0","17","-13","17","-2","-2","2","-5","-5","-3","0","0","0","0","6","2012","2013","2017-03-16 21:16:27"
"1008","Headway School Society of Alberta","10435-76 Street NW","","Edmonton","AB","T6A3B1","(780) 461-7683","Private School","53.5475549","-113.4439862","2017-03-16 21:15:31","0","-6","-10","12","-12","2","11","-14","18","-10","1","6","-6","-4","-12","2012","2013","2017-03-16 21:16:27"
"1022","Learning Store West Edmonton","9532 - 163 Street NW","","Edmonton","AB","T5P3M7","(780) 443-8072","Public","53.532879711955","-113.6028126086","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","0","0","0","0","11","41","52","2012","2013","2017-03-16 21:16:27"
"1024","St. John Bosco","7411 - 161A Avenue","","Edmonton","AB","T5Z3V4","(780) 471-3140","Separate","53.621918","-113.4575304","2017-03-16 21:15:31","0","9","14","-24","21","5","4","-15","0","0","0","0","0","0","14","2012","2013","2017-03-16 21:16:27"
"1025","Father Michael Troy Junior High","3630 23 Street","","Edmonton","AB","T6T1W7","","Separate","53.4720958","-113.3775492","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","26","-41","30","0","0","0","15","2012","2013","2017-03-16 21:16:27"
"1026","Archbishop Joseph MacNeil","750 Leger Way","","Edmonton","AB","T6R3H4","","Separate","53.46008524711","-113.57723896138","2017-03-16 21:15:31","0","-3","4","-10","1","-5","-19","19","8","-11","0","0","0","0","-16","2012","2013","2017-03-16 21:16:27"
"1027","St. Teresa of Calcutta Elementary School","9008 - 105A Avenue","","Edmonton","AB","T5H4P9","(780) 471-3631","Separate","53.552145969551","-113.47552766627","2017-03-16 21:15:31","0","-5","2","-1","4","-6","27","-11","0","0","0","0","0","0","10","2012","2013","2017-03-16 21:16:27"
"1028","Blessed Oscar Romero Catholic High School","17760 - 69 Avenue","","Edmonton","AB","T5T6X3","(780) 428-2705","Separate","53.504184245821","-113.629584","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","0","0","0","50","8","-9","49","2012","2013","2017-03-16 21:16:27"
"1032","Corbett Hall Early Education Program","2-70 Corbett Hall","University of Alberta","Edmonton","AB","T6G2G4","(780) 492-5081","ECS Private Operator","53.5181022","-113.5237724","2017-03-16 21:15:31","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2012","2013","2017-03-16 21:16:27"
"1075","STAR Catholic Outreach School","4906 - 50 Avenue","","Leduc","AB","T9E6W9","(780) 980-0955","Separate","53.264989681907","-113.55113064418","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","0","0","0","9","21","11","41","2012","2013","2017-03-16 21:16:27"
"1120","Norwood Chinese School","11124-130 St","C/O Westmount School","Edmonton","AB","T5M0J2","(780) 908-6406","Private School","53.5588333","-113.5462366","2017-03-16 21:15:31","0","0","0","0","0","0","0","0","0","0","0","0","-2","2","0","2012","2013","2017-03-16 21:16:27"
"1127","Mother Earth's Children's Charter School","c/o St John's School","RR #5","Stony Plain","AB","T7Z1X5","(780) 702-7531","Charter","53.385166645163","-114.29010412542","2017-03-16 21:15:31","0","2","-3","4","4","-6","-2","-12","4","0","0","0","0","0","-9","2012","2013","2017-03-16 21:16:27"
