"school_code","school_name","school_address1","school_address2","school_city","school_province","school_postal_code","school_phone","school_fax","school_email","school_website","ecstaught","elementary_taught","junior_high_taught","senior_high_taught","authority_type","latitude","longitude","authority_code","authority_name","authority_address1","authority_address2","authority_city","authority_province","authority_postal_code","authority_telephone","authority_fax","authority_e_mail","authority_website","offer_school_home_education","offer_school_home_education_blended","offer_school_online","offer_school_outreach","school_updated","school_authority_code","ecs","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total","start_year","end_year","enrollment_updated"
"0017","Centre High","Suite 200","10310 - 102 Avenue","Edmonton","AB","T5J5A2","(780) 425-6753","(780) 917-8814","centrehigh@epsb.ca","http://centrehigh.epsb.ca","0","0","0","0","Public","53.543270990587","-113.49800799748","0","Edmonton School District No. 7","One Kingsway","Centre for Education","Edmonton","AB","T5H4G9","(780) 429-8000","","","http://www.epsb.ca","0","0","0","0","2017-03-20 22:01:14","3020","0","0","0","0","0","0","0","0","0","0","0","0","117","117","2012","2015","2017-03-20 20:24:32"
"0018","The Academy at King Edward","8525 - 101 Street","","Edmonton","AB","T6E3Z4","(780) 439-1368","(780) 439-8432","academy@epsb.ca","http://kingedward.epsb.ca","0","0","0","0","Public","53.521382","-113.489977","0","Edmonton School District No. 7","One Kingsway","Centre for Education","Edmonton","AB","T5H4G9","(780) 429-8000","","","http://www.epsb.ca","0","0","0","0","2017-03-20 22:01:14","3020","0","0","-5","-2","10","19","1","7","6","10","0","-1","2","47","2012","2015","2017-03-20 20:24:32"
"0026","Ecole Publique Gabrielle-Roy","8728 - 93 Avenue","","Edmonton","AB","T6C1T8","(780) 457-2100","(780) 472-7855","gr@centrenord.ab.ca","http://www.centrenord.ab.ca","0","0","0","0","Francophone","53.5299083","-113.4632388","0","Greater North Central Francophone Education Region No. 2","322, 8627 - 91 Street","","Edmonton","AB","T6C3N1","","","","http://www.centrenord.ab.ca","0","0","0","0","2017-03-20 22:01:14","8040","7","16","19","24","9","-6","5","-1","6","9","10","13","1","112","2012","2015","2017-03-20 20:24:33"
"0028","Phoenix Academy","Centre 170, Suite 145","10403 - 172 St","Edmonton","AB","T5S1K9","(780) 440-0708","(780) 440-0760","upcs_admin@upcs.org","","0","0","0","0","Private School","53.5468739","-113.6168528","0","Unlimited Potential Community Services Society","Centre 170, Suite 145","10403 - 172 St","Edmonton","AB","T5S1K9","(780) 440-0708","(780) 440-0760","upcs_admin@upcs.org","http://UPcs.org","0","0","0","0","2017-03-20 22:01:14","9272","0","0","0","0","-1","0","-2","-4","0","2","3","2","0","0","2012","2015","2017-03-20 20:24:33"
"0098","Harvest Baptist Academy","26404 Highway 16, West","","Spruce Grove","AB","T7X3H5","(780) 960-0235","(780) 960-9235","bdcoldwell@gmail.com","","0","0","0","0","Private School","53.591742042059","-113.78738799757","0","Independent Baptist Christian Education Society","26404 Highway 16, West","","Spruce Grove","AB","T7X3H5","(780) 960-0235","(780) 960-9235","bdcoldwell@gmail.com","","0","0","0","0","2017-03-20 22:01:14","0030","2","108","131","123","104","105","108","101","102","109","84","69","80","1226","2012","2015","2017-03-20 20:24:33"
"0136","Grit Program","12852 141 Street NW","","Edmonton","AB","T5L4N8","(780) 454-9910","(780) 455-1806","accounting@gritprogram.com","","0","0","0","0","ECS Private Operator","53.586012930061","-113.56474865529","0","Getting Ready for Inclusion Today (The GRIT Program) Society of Edmonton","12852-141 Street","","Edmonton","AB","T5L4N8","(780) 454-9910","(780) 455-1806","accounting@gritprogram.ca","","0","0","0","0","2017-03-20 22:01:14","9887","-8","0","0","0","0","0","0","0","0","0","0","0","0","-8","2012","2015","2017-03-20 20:24:33"
"0140","Student's Union & Community Day Care Centre","8917 - 112 Street","","Edmonton","AB","T6G2C5","(780) 492-2245","(780) 492-2840","sucdc@ualberta.ca","","0","0","0","0","ECS Private Operator","53.525005564374","-113.5207388828","0","Students' Union of the University of Alberta and Community Day Care Centre Society","University of Alberta","8917 - 112 Street","Edmonton","AB","T6G2C5","(780) 492-2245","(780) 492-2840","sucdc@ualberta.ca","","0","0","0","0","2017-03-20 22:01:14","9831","4","0","0","0","0","0","0","0","0","0","0","0","0","4","2012","2015","2017-03-20 20:24:33"
"0151","Community Preschool Education","Suite 200","15824 - 131 Avenue","Edmonton","AB","T5V1J4","(780) 455-1818","(780) 454-6166","cpe@communityoptions.ab.ca","http://www.communityoptions.ab.ca","0","0","0","0","ECS Private Operator","53.590707","-113.596221","0","Community Options-A Society for Children and Families","Suite 200","15824-131 Avenue NW","Edmonton","AB","T5V1J4","(780) 455-1818","(780) 454-6166","cpe@communityoptions.ab.ca","http://www.communityoptions.ab.ca","0","0","0","0","2017-03-20 22:01:14","9842","-6","0","0","0","0","0","0","0","0","0","0","0","0","-6","2012","2015","2017-03-20 20:24:33"
"0173","Jasper Place Child Care/ECS Program","16811-88 Avenue-Main Floor","Cabrini Centre","Edmonton","AB","T5R5Y6","(780) 489-2243","(780) 483-0249","jpcfrs@telus.net","http://www.jasperplace-cfrc.com","0","0","0","0","ECS Private Operator","53.523284121295","-113.61257757592","0","Jasper Place Child and Family Resource Society","16811-88 Ave","Main Floor, Cabrinin Centre","Edmonton","AB","T5R5Y6","(780) 489-2243","(780) 483-0249","jpcfrs@telus.net","http://www.jasperplace-cfrc.com","0","0","0","0","2017-03-20 22:01:14","9852","-8","0","0","0","0","0","0","0","0","0","0","0","0","-8","2012","2015","2017-03-20 20:24:33"
"0189","A B C Head Start Program","9829-103 Street NW","","Edmonton","AB","T5K0X9","(780) 461-5353","(780) 469-0423","abchs@abcheadstart.org","http://abcheadstart.org","0","0","0","0","ECS Private Operator","53.5364292","-113.4970614","0","ABC Head Start Society","9829 - 103 Street NW","","Edmonton","AB","T5K0X9","(780) 461-5353","(780) 469-0423","abchs@abcheadstart.org","","0","0","0","0","2017-03-20 22:01:14","9909","-225","0","0","0","0","0","0","0","0","0","0","0","0","-225","2012","2015","2017-03-20 20:24:33"
"0214","Beverly Day Care Centre","11809 - 48 Street","","Edmonton","AB","T5W2Y4","(780) 477-1151","(780) 471-5598","","","0","0","0","0","ECS Private Operator","53.571244","-113.415073","0","Beverly Day Care Society & Family Resource Centre","11809 - 48th Street","","Edmonton","AB","T5W2Y4","(780) 477-1151","(780) 471-5598","bevdaycare1@telus.net","","0","0","0","0","2017-03-20 22:01:14","9881","-3","0","0","0","0","0","0","0","0","0","0","0","0","-3","2012","2015","2017-03-20 20:24:33"
